id,rung,hit@1,hit@5,recall@5,rank_first_relevant,abstained,abstain_correct
g091,rung-01000,1,1,1.0000,1,0,1
g092,rung-01000,1,1,0.3333,1,0,1
g093,rung-01000,0,1,0.6667,2,0,1
g094,rung-01000,1,1,0.5000,1,0,1
g095,rung-01000,0,1,0.3333,3,0,1
g096,rung-01000,1,1,0.5000,1,0,1
g097,rung-01000,1,1,1.0000,1,0,1
g098,rung-01000,0,0,0.0000,9,0,1
g099,rung-01000,1,1,1.0000,1,0,1
g100,rung-01000,0,0,0.0000,,0,1
g101,rung-01000,0,1,0.3333,5,0,1
g102,rung-01000,0,0,0.0000,,0,1
g103,rung-01000,0,0,0.0000,,0,1
g104,rung-01000,0,0,0.0000,,0,0
g105,rung-01000,1,1,0.8000,1,0,1
g106,rung-01000,0,0,0.0000,,0,1
g107,rung-01000,0,0,0.0000,10,0,1
g108,rung-01000,0,0,0.0000,,0,0
g109,rung-01000,1,1,0.5000,1,0,1
g110,rung-01000,0,0,0.0000,,0,1
g111,rung-01000,0,0,0.0000,,0,1
g112,rung-01000,0,0,0.0000,7,0,1
g113,rung-01000,0,0,0.0000,,0,0
g114,rung-01000,0,1,0.3333,3,0,1
g115,rung-01000,0,0,0.0000,,0,1
g116,rung-01000,1,1,1.0000,1,0,1
g117,rung-01000,1,1,1.0000,1,0,1
g118,rung-01000,1,1,0.7500,1,0,1
g119,rung-01000,0,0,0.0000,,0,1
g120,rung-01000,0,0,0.0000,,0,1
g121,rung-01000,0,1,1.0000,2,0,1
g122,rung-01000,0,0,0.0000,,0,1
g123,rung-01000,0,0,0.0000,,0,1
g124,rung-01000,0,0,0.0000,10,0,1
